SPECTRUM - MS
c13_1-qb.raw
FTMS - p NSI Full ms [100.00-1000.00]
Scan #: 1
RT: 0.01
m/z	Intensity	Relative	Noise

  100.0017	      0.3	    0.00	   -0.74
  100.0031	      0.1	    0.00	   -0.74
  100.0039	      0.2	    0.00	   -0.74
  100.0066	      0.1	    0.00	   -0.74
  100.0070	      0.1	    0.00	   -0.74
  100.0073	      0.1	    0.00	   -0.74
  100.0090	      0.1	    0.00	   -0.74
  100.0104	      0.2	    0.00	   -0.74
  100.0112	      0.1	    0.00	   -0.74
  100.0134	      0.1	    0.00	   -0.74
  100.0140	      0.1	    0.00	   -0.74
  100.0155	      0.2	    0.00	   -0.74
  100.0164	      0.1	    0.00	   -0.74
  100.0180	      0.1	    0.00	   -0.74
  100.0191	      0.1	    0.00	   -0.74
  100.0204	      0.2	    0.00	   -0.74
  100.0219	      0.2	    0.00	   -0.74
  100.0236	      0.1	    0.00	   -0.74
  100.0239	      0.1	    0.00	   -0.74
  100.0249	      0.1	    0.00	   -0.74
  100.0265	      0.3	    0.00	   -0.74
  100.0286	      0.1	    0.00	   -0.74
  100.0297	      0.9	    0.00	   -0.74
  100.0315	      0.1	    0.00	   -0.74
  100.0323	      0.1	    0.00	   -0.74
  100.0351	      0.2	    0.00	   -0.74
  100.0367	      0.2	    0.00	   -0.74
  100.0379	      0.1	    0.00	   -0.74
  100.0395	      0.3	    0.00	   -0.74
  100.0415	      0.1	    0.00	   -0.74
  100.0427	      0.1	    0.00	   -0.74
  100.0435	      0.1	    0.00	   -0.74
  100.0444	      0.1	    0.00	   -0.74
  100.0459	      0.2	    0.00	   -0.74
  100.0473	      0.1	    0.00	   -0.74
  100.0481	      0.1	    0.00	   -0.74
  100.0494	      0.2	    0.00	   -0.74
  100.0505	      0.2	    0.00	   -0.74
  100.0512	      0.1	    0.00	   -0.74
  100.0543	      0.2	    0.00	   -0.74
  100.0556	      0.2	    0.00	   -0.74
  100.0563	      0.2	    0.00	   -0.74
  100.0590	      0.1	    0.00	   -0.74
  100.0603	      0.2	    0.00	   -0.74
  100.0625	      0.1	    0.00	   -0.74
  100.0646	      0.3	    0.00	   -0.74
  100.0664	      0.1	    0.00	   -0.74
  100.0693	      0.2	    0.00	   -0.74
  100.0704	      0.1	    0.00	   -0.74
  100.0714	      0.2	    0.00	   -0.74
  100.0722	      0.2	    0.00	   -0.74
  100.0736	      0.1	    0.00	   -0.74
  100.0760	      0.1	    0.00	   -0.74
  100.0787	      0.2	    0.00	   -0.74
  100.0810	      0.1	    0.00	   -0.74
  100.0827	      0.1	    0.00	   -0.74
  100.0835	      0.1	    0.00	   -0.74
  100.0857	      0.1	    0.00	   -0.74
  100.0874	      0.1	    0.00	   -0.74
  100.0892	      0.2	    0.00	   -0.74
  100.0900	      0.1	    0.00	   -0.74
  100.0911	      0.2	    0.00	   -0.74
  100.0921	      0.1	    0.00	   -0.74
  100.0927	      0.1	    0.00	   -0.74
  100.0940	      0.2	    0.00	   -0.74
  100.0958	      0.2	    0.00	   -0.74
  100.0963	      0.1	    0.00	   -0.74
  100.0998	      0.1	    0.00	   -0.74
  100.1007	      0.1	    0.00	   -0.74
  100.1015	      0.2	    0.00	   -0.74
  100.1032	      0.2	    0.00	   -0.74
  100.1070	      0.2	    0.00	   -0.74
  100.1080	      0.1	    0.00	   -0.74
  100.1089	      0.1	    0.00	   -0.74
  100.1136	      0.1	    0.00	   -0.74
  100.1150	      0.1	    0.00	   -0.74
  100.1160	      0.2	    0.00	   -0.74
  100.1192	      0.2	    0.00	   -0.74
  100.1200	      0.2	    0.00	   -0.74
  100.1221	      0.1	    0.00	   -0.74
  100.1255	      0.2	    0.00	   -0.74
  100.1270	      0.1	    0.00	   -0.74
  100.1279	      0.1	    0.00	   -0.74
  100.1286	      0.1	    0.00	   -0.74
  100.1318	      0.2	    0.00	   -0.74
  100.1329	      0.1	    0.00	   -0.74
  100.1348	      0.2	    0.00	   -0.74
  100.1356	      0.1	    0.00	   -0.74
  100.1372	      0.1	    0.00	   -0.74
  100.1384	      0.1	    0.00	   -0.74
  100.1392	      0.1	    0.00	   -0.74
  100.1402	      0.1	    0.00	   -0.74
  100.1412	      0.1	    0.00	   -0.74
  100.1435	      0.1	    0.00	   -0.74
  100.1461	      0.1	    0.00	   -0.74
  100.1490	      0.1	    0.00	   -0.74
  100.1507	      0.2	    0.00	   -0.74
  100.1521	      0.1	    0.00	   -0.74
  100.1529	      0.2	    0.00	   -0.74
  100.1539	      0.1	    0.00	   -0.74
  100.1554	      0.1	    0.00	   -0.74
  100.1559	      0.1	    0.00	   -0.74
  100.1573	      0.1	    0.00	   -0.74
  100.1594	      0.1	    0.00	   -0.74
  100.1605	      0.2	    0.00	   -0.74
  100.1618	      0.1	    0.00	   -0.74
  100.1640	      0.1	    0.00	   -0.74
  100.1643	      0.1	    0.00	   -0.74
  100.1660	      0.1	    0.00	   -0.74
  100.1685	      0.1	    0.00	   -0.74
  100.1712	      0.2	    0.00	   -0.74
  100.1723	      0.1	    0.00	   -0.74
  100.1732	      0.1	    0.00	   -0.74
  100.1751	      0.2	    0.00	   -0.74
  100.1780	      0.1	    0.00	   -0.74
  100.1811	      0.1	    0.00	   -0.74
  100.1822	      0.1	    0.00	   -0.74
  100.1831	      0.2	    0.00	   -0.74
  100.1895	      0.2	    0.00	   -0.74
  100.1905	      0.1	    0.00	   -0.74
  100.1914	      0.1	    0.00	   -0.74
  100.1927	      0.1	    0.00	   -0.74
  100.1937	      0.1	    0.00	   -0.74
  100.1956	      0.1	    0.00	   -0.74
  100.1979	      0.1	    0.00	   -0.74
  100.1988	      0.1	    0.00	   -0.74
  100.1992	      0.1	    0.00	   -0.74
  100.2025	      0.2	    0.00	   -0.74
  100.2043	      0.1	    0.00	   -0.74
  100.2064	      0.2	    0.00	   -0.74
  100.2073	      0.2	    0.00	   -0.74
  100.2085	      0.1	    0.00	   -0.74
  100.2093	      0.1	    0.00	   -0.74
  100.2130	      0.1	    0.00	   -0.74
  100.2146	      0.2	    0.00	   -0.74
  100.2157	      0.1	    0.00	   -0.74
  100.2159	      0.1	    0.00	   -0.74
  100.2170	      0.1	    0.00	   -0.74
  100.2177	      0.1	    0.00	   -0.74
  100.2184	      0.1	    0.00	   -0.74
  100.2197	      0.1	    0.00	   -0.74
  100.2208	      0.1	    0.00	   -0.74
  100.2220	      0.2	    0.00	   -0.74
  100.2233	      0.1	    0.00	   -0.74
  100.2258	      0.1	    0.00	   -0.74
  100.2269	      0.1	    0.00	   -0.74
  100.2285	      0.1	    0.00	   -0.74
  100.2289	      0.1	    0.00	   -0.74
  100.2292	      0.1	    0.00	   -0.74
  100.2294	      0.1	    0.00	   -0.74
  100.2303	      0.1	    0.00	   -0.74
  100.2307	      0.1	    0.00	   -0.74
  100.2312	      0.1	    0.00	   -0.74
  100.2314	      0.1	    0.00	   -0.74
  100.2327	      0.1	    0.00	   -0.74
  100.2329	      0.1	    0.00	   -0.74
  100.2338	      0.1	    0.00	   -0.74
  100.2346	      0.1	    0.00	   -0.74
  100.2361	      0.2	    0.00	   -0.74
  100.2375	      0.1	    0.00	   -0.74
  100.2421	      0.1	    0.00	   -0.74
  100.2428	      0.1	    0.00	   -0.74
  100.2435	      0.2	    0.00	   -0.74
  100.2449	      0.1	    0.00	   -0.74
  100.2486	      0.2	    0.00	   -0.74
  100.2503	      0.1	    0.00	   -0.74
  100.2529	      0.2	    0.00	   -0.74
  100.2541	      0.2	    0.00	   -0.74
  100.2554	      0.1	    0.00	   -0.74
  100.2569	      0.2	    0.00	   -0.74
  100.2581	      0.1	    0.00	   -0.74
  100.2589	      0.1	    0.00	   -0.74
  100.2602	      0.2	    0.00	   -0.74
  100.2613	      0.1	    0.00	   -0.74
  100.2625	      0.1	    0.00	   -0.74
  100.2633	      0.1	    0.00	   -0.74
  100.2644	      0.1	    0.00	   -0.74
  100.2658	      0.1	    0.00	   -0.74
  100.2672	      0.1	    0.00	   -0.74
  100.2698	      0.1	    0.00	   -0.74
  100.2709	      0.1	    0.00	   -0.74
  100.2728	      0.2	    0.00	   -0.74
  100.2746	      0.2	    0.00	   -0.74
  100.2753	      0.1	    0.00	   -0.74
  100.2769	      0.1	    0.00	   -0.74
  100.2775	      0.2	    0.00	   -0.74
  100.2782	      0.1	    0.00	   -0.74
  100.2788	      0.1	    0.00	   -0.74
  100.2800	      0.1	    0.00	   -0.74
  100.2807	      0.1	    0.00	   -0.74
  100.2816	      0.1	    0.00	   -0.74
  100.2819	      0.1	    0.00	   -0.74
  100.2833	      0.1	    0.00	   -0.74
  100.2848	      0.2	    0.00	   -0.74
  100.2854	      0.1	    0.00	   -0.74
  100.2855	      0.1	    0.00	   -0.74
  100.2895	      0.1	    0.00	   -0.74
  100.2906	      0.1	    0.00	   -0.74
  100.2918	      0.1	    0.00	   -0.74
  100.2934	      0.1	    0.00	   -0.74
  100.2944	      0.1	    0.00	   -0.74
  100.2948	      0.1	    0.00	   -0.74
  100.2966	      0.1	    0.00	   -0.74
  100.2986	      0.2	    0.00	   -0.74
  100.2993	      0.1	    0.00	   -0.74
  100.3005	      0.1	    0.00	   -0.74
  100.3010	      0.1	    0.00	   -0.74
  100.3019	      0.1	    0.00	   -0.74
  100.3043	      0.1	    0.00	   -0.74
  100.3068	      0.2	    0.00	   -0.74
  100.3075	      0.1	    0.00	   -0.74
  100.3089	      0.1	    0.00	   -0.74
  100.3130	      0.2	    0.00	   -0.74
  100.3150	      0.1	    0.00	   -0.74
  100.3156	      0.1	    0.00	   -0.74
  100.3164	      0.1	    0.00	   -0.74
  100.3185	      0.1	    0.00	   -0.74
  100.3195	      0.1	    0.00	   -0.74
  100.3197	      0.1	    0.00	   -0.74
  100.3199	      0.1	    0.00	   -0.74
  100.3207	      0.1	    0.00	   -0.74
  100.3227	      0.1	    0.00	   -0.74
  100.3241	      0.2	    0.00	   -0.74
  100.3257	      0.1	    0.00	   -0.74
  100.3261	      0.1	    0.00	   -0.74
  100.3263	      0.1	    0.00	   -0.74
  100.3280	      0.1	    0.00	   -0.74
  100.3335	      0.1	    0.00	   -0.74
  100.3346	      0.1	    0.00	   -0.74
  100.3357	      0.1	    0.00	   -0.74
  100.3368	      0.2	    0.00	   -0.74
  100.3392	      0.1	    0.00	   -0.74
  100.3407	      0.1	    0.00	   -0.74
  100.3423	      0.1	    0.00	   -0.74
  100.3441	      0.1	    0.00	   -0.74
  100.3449	      0.1	    0.00	   -0.74
  100.3470	      0.2	    0.00	   -0.74
  100.3494	      0.1	    0.00	   -0.74
  100.3502	      0.1	    0.00	   -0.74
  100.3508	      0.1	    0.00	   -0.74
  100.3517	      0.1	    0.00	   -0.74
  100.3545	      0.1	    0.00	   -0.74
  100.3554	      0.2	    0.00	   -0.74
  100.3573	      0.1	    0.00	   -0.74
  100.3585	      0.1	    0.00	   -0.74
  100.3595	      0.1	    0.00	   -0.74
  100.3604	      0.1	    0.00	   -0.74
  100.3613	      0.1	    0.00	   -0.74
  100.3648	      0.2	    0.00	   -0.74
  100.3657	      0.1	    0.00	   -0.74
  100.3662	      0.1	    0.00	   -0.74
  100.3665	      0.1	    0.00	   -0.74
  100.3680	      0.1	    0.00	   -0.74
  100.3705	      0.1	    0.00	   -0.74
  100.3732	      0.1	    0.00	   -0.74
  100.3739	      0.1	    0.00	   -0.74
  100.3759	      0.1	    0.00	   -0.74
  100.3767	      0.1	    0.00	   -0.74
  100.3803	      0.1	    0.00	   -0.74
  100.3819	      0.2	    0.00	   -0.74
  100.3832	      0.1	    0.00	   -0.74
  100.3846	      0.1	    0.00	   -0.74
  100.3855	      0.1	    0.00	   -0.74
  100.3870	      0.2	    0.00	   -0.74
  100.3904	      0.1	    0.00	   -0.74
  100.3918	      0.1	    0.00	   -0.74
  100.3922	      0.1	    0.00	   -0.74
  100.3931	      0.1	    0.00	   -0.74
  100.3941	      0.1	    0.00	   -0.74
  100.3952	      0.1	    0.00	   -0.74
  100.3961	      0.1	    0.00	   -0.74
  100.3986	      0.2	    0.00	   -0.74
  100.3997	      0.1	    0.00	   -0.74
  100.4008	      0.1	    0.00	   -0.74
  100.4041	      0.1	    0.00	   -0.74
  100.4047	      0.1	    0.00	   -0.74
  100.4056	      0.2	    0.00	   -0.74
