m/z	intensity	relative	noise
101.02243178484109	40.9	0.0275	1.0107027258299048
101.02350000000001	366.65	0.2575	1.0107027258299048
101.05988068965519	10.875	0.01	1.0062305898749053
102.0269	0.625	0.0	0.43133513652379396
102.0551	1081.0	0.74	0.9436206865049112
103.03917121212122	1.65	0.0	0.8400000000000001
103.058475625	4.0	0.0	0.9749256381899083
103.1153	0.275	0.0	0.35355339059327373
103.11619999999999	0.45	0.0	0.35355339059327373
103.11715	1.4	0.0	0.5773502691896258
103.1177	0.4	0.0	0.35355339059327373
103.1181	1.05	0.0	0.35355339059327373
103.11887878787878	1.65	0.0	0.75
103.1195	0.7	0.0	0.4949747468305832
103.12022976190475	2.1	0.0	0.5773502691896258
103.12118058252426	2.575	0.0	0.85
103.1216	2.05	0.0025	0.35355339059327373
103.12209999999997	1.75	0.0	0.5773502691896258
103.12270000000001	4.325	0.0025	0.6928203230275509
103.1233	1.05	0.0	0.35355339059327373
103.12372649572649	2.925	0.0	0.6928203230275509
103.1243	3.225	0.0025	0.35355339059327373
103.1249	1.875	0.0025	0.35355339059327373
103.1252	3.125	0.0025	0.4949747468305832
103.12565102040817	3.675	0.0025	0.5773502691896258
103.1261281938326	5.675000000000001	0.0025	0.5773502691896258
103.12648837209304	5.375	0.005	0.6928203230275509
103.1267	3.625	0.0025	0.35355339059327373
103.12742116182571	12.05	0.01	0.9838699100999075
103.1277	3.775	0.0025	0.35355339059327373
103.128	3.875	0.0025	0.35355339059327373
103.1285	7.475	0.005	0.6928203230275509
103.1291	6.25	0.005	0.5773502691896258
103.12976861313868	10.275	0.0075	0.85
103.13	3.45	0.0025	0.35355339059327373
103.1304	7.1	0.005	0.5773502691896258
103.13090000000001	3.675	0.0025	0.4949747468305832
103.13134531835207	6.675	0.005	0.6928203230275509
103.13165473145781	9.774999999999999	0.0075	0.85
103.1319	3.7	0.0025	0.4949747468305832
103.1324	2.925	0.0025	0.35355339059327373
103.13273877551019	9.8	0.0075	0.85
103.1332963562753	6.175000000000001	0.005	0.6928203230275509
103.13364684014871	6.725	0.005	0.5773502691896258
103.13406545454545	4.125	0.0025	0.6928203230275509
103.13485127118643	5.9	0.005	0.5773502691896258
103.13523629629628	3.375	0.0025	0.6928203230275509
103.13552666666666	4.125	0.0025	0.5773502691896258
103.1362	2.025	0.0	0.4949747468305832
103.13667930029156	8.575	0.005	0.9838699100999075
103.1374794797688	8.65	0.005	0.9838699100999075
103.13840597014922	5.025	0.005	0.85
103.13925664335663	3.575	0.0025	0.5773502691896258
